signature_id,dataset_id,platform,n_signature_genes,n_mapped_genes,mapped_genes,missing_genes,coverage_fraction,direction_complete,mapping_status,primary_coverage_pass,notes
SIG_ATNF_TREM1_BLOOD,GSE73661_VDZ,GPL6244,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE92415_PURSUIT,GPL13158,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE212849_PROGECT,GPL570,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,E-MTAB-7604_ATNF,Illumina HiSeq 4000,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,E-MTAB-7845_VDZ,Illumina HiSeq 4000,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE107865_IFX_BLOOD,GPL23159,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE42296_IFX_PBMC,GPL6244,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE52746_IFX_POST,GPL17996,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE100833_CERTIFI,GPL13158,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE112366_UNITI2_ILEUM,GPL13158,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE207022_UNITI2_RECTUM,GPL13158,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE207465_UNITI2_BLOOD,GPL32416,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
