signature_id,task_id,dataset_id,omitted_gene,n_genes_full,n_genes_retained,full_auroc,leave_one_gene_out_auroc,delta_auroc,direction_retained
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,IL13RA2,5,4,0.7022222222222222,0.6777777777777777,-0.02444444444444449,True
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,IL11,5,4,0.7022222222222222,0.6844444444444444,-0.01777777777777778,True
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,TNFRSF11B,5,4,0.6485260770975056,0.6674225245653818,0.01889644746787611,True
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,STC1,5,4,0.6485260770975056,0.6424792139077853,-0.006046863189720364,True
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,PTGS2,5,4,0.6485260770975056,0.6379440665154951,-0.010582010582010581,True
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,IL13RA2,5,4,0.6485260770975056,0.6326530612244898,-0.015873015873015817,True
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,IL11,5,4,0.6485260770975056,0.6439909297052154,-0.0045351473922902175,True
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TNFRSF11B,5,4,0.6585648148148149,0.6585648148148149,0.0,True
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,STC1,5,4,0.6585648148148149,0.6550925925925926,-0.003472222222222321,True
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,PTGS2,5,4,0.6585648148148149,0.6631944444444444,0.004629629629629539,True
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,IL13RA2,5,4,0.6585648148148149,0.6354166666666666,-0.02314814814814825,True
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,IL11,5,4,0.6585648148148149,0.6747685185185185,0.01620370370370361,True
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,TNFRSF11B,5,4,0.712038789025544,0.7058301797540208,-0.006208609271523113,True
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,STC1,5,4,0.712038789025544,0.707899716177862,-0.0041390728476820016,True
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,PTGS2,5,4,0.712038789025544,0.7186021759697256,0.006563386944181682,True
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,IL13RA2,5,4,0.712038789025544,0.7187204351939451,0.006681646168401167,True
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,IL11,5,4,0.712038789025544,0.7023415326395459,-0.009697256385998054,True
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,TNFRSF11B,5,4,0.6850016196954972,0.6801425332037577,-0.004859086491739495,True
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,STC1,5,4,0.6850016196954972,0.6766439909297052,-0.008357628765792047,True
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,PTGS2,5,4,0.6850016196954972,0.6829284094590217,-0.0020732102364755534,True
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,IL13RA2,5,4,0.6850016196954972,0.7011337868480725,0.01613216715257526,True
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,IL11,5,4,0.6850016196954972,0.6805960479429868,-0.00440557175251044,True
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TNFRSF11B,5,4,0.5964912280701754,0.6222587719298246,0.02576754385964919,True
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,STC1,5,4,0.5964912280701754,0.5663377192982456,-0.030153508771929793,True
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,PTGS2,5,4,0.5964912280701754,0.6041666666666666,0.007675438596491224,True
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,IL13RA2,5,4,0.5964912280701754,0.5942982456140351,-0.002192982456140302,True
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,IL11,5,4,0.5964912280701754,0.5926535087719298,-0.003837719298245612,True
SIG_CROSS_UC4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,IGFBP5,4,3,0.6688888888888889,0.668888888888889,1.1102230246251565e-16,True
SIG_CROSS_UC4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,SELE,4,3,0.6688888888888889,0.6733333333333333,0.004444444444444473,True
SIG_CROSS_UC4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,STC1,4,3,0.6688888888888889,0.6577777777777778,-0.011111111111111072,True
SIG_CROSS_UC4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,VNN2,4,3,0.6688888888888889,0.6488888888888888,-0.020000000000000018,True
SIG_CROSS_UC4,T_PROGECT_MH_W6,GSE212849_PROGECT,IGFBP5,4,3,0.6500377928949358,0.618291761148904,-0.031746031746031744,True
SIG_CROSS_UC4,T_PROGECT_MH_W6,GSE212849_PROGECT,SELE,4,3,0.6500377928949358,0.656084656084656,0.006046863189720253,True
SIG_CROSS_UC4,T_PROGECT_MH_W6,GSE212849_PROGECT,STC1,4,3,0.6500377928949358,0.6583522297808012,0.008314436885865417,True
SIG_CROSS_UC4,T_PROGECT_MH_W6,GSE212849_PROGECT,VNN2,4,3,0.6500377928949358,0.6606198034769463,0.01058201058201047,True
SIG_CROSS_UC4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,IGFBP5,4,3,0.6782407407407408,0.6817129629629629,0.003472222222222099,True
SIG_CROSS_UC4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,SELE,4,3,0.6782407407407408,0.6539351851851851,-0.02430555555555569,True
SIG_CROSS_UC4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,STC1,4,3,0.6782407407407408,0.6840277777777778,0.0057870370370369795,True
SIG_CROSS_UC4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,VNN2,4,3,0.6782407407407408,0.6689814814814815,-0.0092592592592593,True
SIG_CROSS_UC4,T_UNIFI_MH_W8,GSE206285_UNIFI,IGFBP5,4,3,0.7216177861873226,0.7089049195837275,-0.012712866603595163,True
SIG_CROSS_UC4,T_UNIFI_MH_W8,GSE206285_UNIFI,SELE,4,3,0.7216177861873226,0.7223864711447493,0.0007686849574266574,True
SIG_CROSS_UC4,T_UNIFI_MH_W8,GSE206285_UNIFI,STC1,4,3,0.7216177861873226,0.712038789025544,-0.00957899716177868,True
SIG_CROSS_UC4,T_UNIFI_MH_W8,GSE206285_UNIFI,VNN2,4,3,0.7216177861873226,0.7196073793755913,-0.002010406811731369,True
SIG_CROSS_UC4,T_UNIFI_REM_W8,GSE206285_UNIFI,IGFBP5,4,3,0.7037900874635569,0.6904437965662455,-0.01334629089731132,True
SIG_CROSS_UC4,T_UNIFI_REM_W8,GSE206285_UNIFI,SELE,4,3,0.7037900874635569,0.6989957887917072,-0.004794298671849662,True
SIG_CROSS_UC4,T_UNIFI_REM_W8,GSE206285_UNIFI,STC1,4,3,0.7037900874635569,0.6917395529640428,-0.012050534499514098,True
SIG_CROSS_UC4,T_UNIFI_REM_W8,GSE206285_UNIFI,VNN2,4,3,0.7037900874635569,0.7098153547133139,0.006025267249757049,True
SIG_CROSS_UC4,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,IGFBP5,4,3,0.632127192982456,0.6140350877192983,-0.018092105263157743,True
SIG_CROSS_UC4,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,SELE,4,3,0.632127192982456,0.6343201754385965,0.0021929824561405242,True
SIG_CROSS_UC4,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,STC1,4,3,0.632127192982456,0.6211622807017544,-0.010964912280701622,True
SIG_CROSS_UC4,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,VNN2,4,3,0.632127192982456,0.6705043859649122,0.03837719298245623,True
SIG_UST4_COEF,T_EMTAB7604_ER,E-MTAB-7604_ATNF,HSD3B1,4,3,0.46222222222222226,0.4422222222222222,-0.020000000000000073,False
SIG_UST4_COEF,T_EMTAB7604_ER,E-MTAB-7604_ATNF,MUC4,4,3,0.46222222222222226,0.4622222222222222,-5.551115123125783e-17,False
SIG_UST4_COEF,T_EMTAB7604_ER,E-MTAB-7604_ATNF,CFI,4,3,0.46222222222222226,0.5222222222222221,0.05999999999999989,True
SIG_UST4_COEF,T_EMTAB7604_ER,E-MTAB-7604_ATNF,CCL11,4,3,0.46222222222222226,0.46444444444444444,0.002222222222222181,False
SIG_UST4_COEF,T_PROGECT_MH_W6,GSE212849_PROGECT,HSD3B1,4,3,0.6190476190476191,0.6107331821617537,-0.008314436885865417,True
SIG_UST4_COEF,T_PROGECT_MH_W6,GSE212849_PROGECT,MUC4,4,3,0.6190476190476191,0.6243386243386243,0.005291005291005235,True
SIG_UST4_COEF,T_PROGECT_MH_W6,GSE212849_PROGECT,CFI,4,3,0.6190476190476191,0.417989417989418,-0.20105820105820105,False
SIG_UST4_COEF,T_PROGECT_MH_W6,GSE212849_PROGECT,CCL11,4,3,0.6190476190476191,0.6182917611489039,-0.0007558578987151288,True
SIG_UST4_COEF,T_PURSUIT_CR_W6,GSE92415_PURSUIT,HSD3B1,4,3,0.5879629629629629,0.6018518518518519,0.01388888888888895,True
SIG_UST4_COEF,T_PURSUIT_CR_W6,GSE92415_PURSUIT,MUC4,4,3,0.5879629629629629,0.5844907407407407,-0.00347222222222221,True
SIG_UST4_COEF,T_PURSUIT_CR_W6,GSE92415_PURSUIT,CFI,4,3,0.5879629629629629,0.5243055555555556,-0.06365740740740733,True
SIG_UST4_COEF,T_PURSUIT_CR_W6,GSE92415_PURSUIT,CCL11,4,3,0.5879629629629629,0.5856481481481481,-0.0023148148148147696,True
SIG_UST4_COEF,T_UNIFI_MH_W8,GSE206285_UNIFI,HSD3B1,4,3,0.6264782403027437,0.6262417218543047,-0.00023651844843897152,True
SIG_UST4_COEF,T_UNIFI_MH_W8,GSE206285_UNIFI,MUC4,4,3,0.6264782403027437,0.63191816461684,0.005439924314096345,True
SIG_UST4_COEF,T_UNIFI_MH_W8,GSE206285_UNIFI,CFI,4,3,0.6264782403027437,0.5122989593188269,-0.11417928098391683,True
SIG_UST4_COEF,T_UNIFI_MH_W8,GSE206285_UNIFI,CCL11,4,3,0.6264782403027437,0.626833017975402,0.00035477767265834625,True
