signature_id,task_id,dataset_id,trial_id,evaluation_role,same_therapy,same_endpoint,same_disease,alignment_score,n_subjects,n_genes_used,frozen_auroc,z_recomputed_auroc,mad_auroc,rank_auroc,scaling_auroc_min,scaling_auroc_max,scaling_max_abs_delta,all_scalings_same_direction,frozen_classification,bootstrap_probability_auc_gt_0_5,jackknife_min_auroc,jackknife_max_auroc,jackknife_max_abs_delta,loo_gene_min_auroc,loo_gene_max_auroc,loo_gene_direction_retention_fraction,most_influential_gene,most_influential_gene_delta_auroc,orientation_patterns,published_orientation_percentile,orientation_null_min_auroc,orientation_null_median_auroc,orientation_null_max_auroc
SIG_UST_MH2,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,False,1,84,2,0.506425,0.5064247921390779,0.4928193499622071,0.5238095238095237,0.4928193499622071,0.5238095238095237,0.017384731670445852,False,UNCERTAIN_OR_NONTRANSPORTABLE,0.5375,0.4817460317460318,0.5317460317460317,0.02532123960695387,0.4860166288737717,0.5479969765684052,0.5,LCN2,0.04157218442932731,4,87.5,0.4935752078609221,0.5,0.5064247921390779
SIG_UST_MH2,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,59,2,0.646991,0.6469907407407407,0.6412037037037037,0.6030092592592593,0.6030092592592593,0.6469907407407407,0.0439814814814814,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.9805,0.6346153846153846,0.6678614097968937,0.02087066905615298,0.5277777777777778,0.6122685185185185,1.0,KDM5D,-0.11921296296296291,4,87.5,0.3530092592592593,0.5,0.6469907407407407
SIG_UST_MH2,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,True,False,2,358,2,0.485277,0.4852767265846737,0.48332544938505206,0.5068294701986755,0.48332544938505206,0.5068294701986755,0.021552743614001835,False,UNCERTAIN_OR_NONTRANSPORTABLE,0.3635,0.47603853100541843,0.4932570740517761,0.00923819557925526,0.43433656575212876,0.5751537369914853,0.5,LCN2,0.08987701040681162,4,37.5,0.4234862819299905,0.5,0.5765137180700094
SIG_UST_MH2,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,364,2,0.528669,0.5286686103012633,0.526465824425008,0.5614836410754778,0.526465824425008,0.5614836410754778,0.03281503077421444,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.7385,0.519510582010582,0.5387566137566138,0.010088003455350436,0.48730158730158735,0.5868480725623583,0.5,LCN2,0.05817946226109494,4,62.5,0.44606413994169103,0.5,0.5539358600583091
SIG_VDZ4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,False,1,43,4,0.491111,0.4911111111111111,0.5377777777777777,0.4933333333333333,0.4911111111111111,0.5377777777777777,0.04666666666666658,False,UNCERTAIN_OR_NONTRANSPORTABLE,0.4495,0.4722222222222222,0.52,0.02888888888888891,0.41333333333333333,0.5577777777777777,0.25,PIWIL1,-0.07777777777777778,16,40.625,0.38666666666666666,0.5,0.6133333333333333
SIG_VDZ4,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,84,4,0.408919,0.40891912320483753,0.3847316704459562,0.42328042328042326,0.3847316704459562,0.42328042328042326,0.024187452758881345,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.1115,0.38015873015873025,0.4293650793650794,0.02876039304610728,0.3786848072562358,0.4520030234315948,0.0,DCHS2,0.04308390022675729,16,9.375,0.3764172335600907,0.5,0.6235827664399092
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,43,7,0.466667,0.4666666666666667,0.44888888888888884,0.4822222222222222,0.44888888888888884,0.4822222222222222,0.017777777777777837,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.338,0.4470588235294118,0.4941176470588235,0.02745098039215682,0.4244444444444444,0.4866666666666666,0.0,BCL11B,-0.04222222222222227,128,39.84375,0.3244444444444444,0.5,0.6755555555555556
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,True,2,84,7,0.4452,0.4452003023431595,0.44217687074829937,0.43839758125472406,0.43839758125472406,0.4452003023431595,0.006802721088435437,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.218,0.4190476190476191,0.46746031746031746,0.02615268329554038,0.43008314436885864,0.45729402872260017,0.0,ARMC2,-0.015117157974300854,128,16.796875,0.41723356009070295,0.5,0.5827664399092971
SIG_VDZ_ANDO7,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,59,7,0.568287,0.568287037037037,0.5752314814814815,0.5711805555555556,0.568287037037037,0.5752314814814815,0.006944444444444531,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.8125,0.5516826923076923,0.5889423076923077,0.02065527065527073,0.47337962962962965,0.6053240740740741,0.8571428571428571,CRB2,-0.09490740740740733,128,68.75,0.3287037037037037,0.5,0.6712962962962963
SIG_VDZ_ANDO7,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,True,2,358,7,0.468425,0.4684247871333964,0.4601466414380322,0.4673900189214759,0.4601466414380322,0.4684247871333964,0.008278145695364225,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.2255,0.45942203491872363,0.47670078266104754,0.009002752214672782,0.43773651844843897,0.49645222327341526,0.0,CDH23,-0.030688268684957443,128,31.640625,0.37547303689687794,0.5,0.624526963103122
